careers,8
â€“,1
enclara,3
32px,1
inline,1
none,4
1em,2
0,9
&&,34
loading,1
please,85
var,97
chars,1
if,79
length,1
str,1
for,262
i,31
0;,7
iteration,1
as,98
may,41
be,199
return,16
else,18
function,33
currentframeurl,1
genurl,1
loc,1
splitpar,2
splitfra,2
it,15
from,68
the,615
parent,1
one,49
so,7
array,1
is,200
in,285
right,11
fullparam,2
'&',1
randomid,1
iframe,2
isoldie,1
detect,1
ie10,1
and,853
enable,11
console,1
true,12
methods,9
within,16
hosted,1
1px,5
white,1
a,364
phone,8
'1,1
option,3
text,7
help,23
out,15
our,98
faq,1
or,231
call,21
us,25
at,96
',11
rejectchrome,1
?,14
false,6
apple,4
safari,1
google,10
chrome,3
mozilla,1
firefox,1
microsoft,3
internet,13
explorer,6
opera,1
konqueror,1
everything,6
'iphone',1
false;,2
'';,7
customized,1
browsers,4
mybrowser,1
key,19
are,136
healthcare,3
on,96
2017,6
privacy,25
by,82
'',3
velocity,1
js,3
applied,3
site,10
999,1
page,13
transition,1
central,3
credit,4
union,3
anchors,1
ssearchstring,1
shref,1
nindex,1
cf,2
string,1
prepended,2
open,10
hire,2
to,739
snewhref,1
href,3
strip,1
crap,1
new,74
sclass,1
surl,1
stext,4
nlevel,1
arythislink,1
sbreadcrumbonoff,2
stemp,2
variables,1
grab,3
information,73
current,35
scurrentpath,1
scurrentpage,2
internal,13
not,126
arysubnav,1
nlen,1
sindex,2
&gt;,2
last,7
bc,1
productversion,1
timeoutseconds,1
3600;,1
300;,1
companyid,1
17325;,1
ep_version,1
show,3
hide,5
welcomejob,1
your,333
job,81
agency,1
spagename,2
user,4
session,8
will,104
timeout,1
5,10
click,14
ok,1
continue,9
with,191
this,134
newly,1
created,5
position,18
an,93
innovative,3
thinker,3
who,19
has,29
passion,5
convert,4
raw,4
data,194
multiple,7
operational,2
sources,13
into,16
meaningful,5
insight,7
which,14
helps,1
drive,16
strategic,9
roadmap,1
make,14
sound,3
business,84
implement,6
maintain,14
common,1
reporting,28
monthly,1
quarterly,2
analyze,24
present,9
closely,6
external,1
vendors,1
strategy,4
service,24
desk,3
team,32
automation,7
communication,21
skills,43
ability,21
interpret,10
explain,4
complex,18
results,16
senior,6
knowledge,20
of,375
ms,1
sql,13
server,5
including,37
ssms,1
systems,13
database,13
excel,9
vba,5
would,16
analytical,22
identify,12
trends,11
patterns,4
able,21
manage,7
projects,4
set,9
candidate,12
administration,2
design,6
mining,15
statistical,26
experience,42
scheduling,1
software,20
studio,1
intelligence,7
existing,2
working,21
other,53
financial,16
degree,9
computer,22
mathematics,1
statistics,16
years,14
similar,14
role,11
united,13
do,21
you,244
know,7
&copy;2017,1
oklahoma,1
all,56
rights,9
 \n\t\t\t,1
,18
icimswindow,2
catch,13
windowurl,1
n;return,5
e&&e,2
instanceof,32
ismobile,1
redirecturl,1
link,6
isnewaesthetics,1
jobid,3
icimssd,2
iswidgetloaded,1
messageformat,1
resourcebundle,2
cannot,13
sure,13
blockers,1
'please,1
specify,2
valid,25
errormsg,1
bodytag,1
skiplink,1
'skip,1
absolute;,1
messages,1
index,2
primarymessage,2
secondarymessage,1
ishub,1
links,1
previnnerhtml,1
community,3
operations,8
tasked,2
ensuring,2
high,14
quality,4
support,30
liveops,4
clients,7
independent,2
responsible,11
gathering,2
interpreting,2
center,11
agent,10
population,3
metrics,4
such,20
well,11
performance,20
handling,2
client,4
work,56
cross,4
functional,4
teams,4
define,4
analysis,26
propose,4
successful,10
loves,2
digging,2
discovering,4
insights,10
hidden,6
that,98
superior,2
provide,15
metrics\n,1
recommendations,6
improvements\n,1
run,4
tests,5
optimize,8
performance\n,1
create,22
scripts,4
tools,6
extracting,4
presenting,7
data\n,1
discover,1
correlations,2
between,7
behaviors,2
bachelor\u2019s,1
quantitative,5
technical,12
field\n,1
advanced,11
pivot,2
nesting,2
formulas,2
analysis\n,1
autonomously,2
but,16
also,27
collaboration,4
teams\n,1
demonstrated,1
learn,9
apply,20
technologies\n,1
excellent,6
skills\n,2
thrive,1
environment,14
tight,2
deadlines\n,1
written,15
oral,6
using,50
packages,9
analyzing,12
large,10
sets,6
php,1
development,6
plus\n,1
apache,2
plus\n\nworkers,1
general,5
office,20
required,27
stoop,2
lift,4
50,8
pounds,6
while,15
operating,5
equipment,11
conducting,8
daily,2
offers,8
skilled,2
workforce,2
onshore,2
virtual,6
agents,5
customer,27
no,19
overhead,2
wasted,2
idle,2
model,2
scales,2
meet,8
seasonal,3
time,35
day,5
spikes,2
more,26
than,27
400,2
organizations,2
across,13
industries,2
insurance,6
telecom,2
trust,3
deliver,6
faster,2
program,8
increased,2
greater,11
satisfaction,2
scores,2
traditional,3
culture,3
fun!&nbsp;,2
we,99
offer,8
outstanding,6
benefits,17
401k,3
generous,2
pto,2
about,34
icims_other,1
cookies,5
browser,17
personalized,1
features,1
back,10
acquisition,3
metricsanalyze,1
improvementsrun,1
datadiscover,1
fieldadvanced,1
analysisability,1
skillsthrive,1
skillsexperience,1
plusworking,1
plusworkers,1
opportunity,18
share,11
properly,3
refresh,3
try,47
again,11
ready,5
apply?,1
connect,3
faqssoftware,1
powered,2
relic,1
pageviewname,2
ensure,4
ever,5
halt,1
f,4
j,4
dl,4
l,8
'datalayer',4
true;,5
dl;,4
students,4
&amp;,19
application,24
log,8
openings,7
full,10
analyst,38
primarily,2
analyses,11
sourcing,8
initiatives,2
supply,5
market,5
rfx,4
build,4
relevant,13
compliance,6
tracking,12
baselines,2
total,4
cost,9
process,21
update,10
spend,10
stuff,2
requires,5
competency,2
change,13
relationship,4
building,6
talent,10
focus,2
inspirational,2
•establish,2
channels,2
stakeholders,6
during,3
conduct,5
standard,5
practices,5
tools;,2
research,11
industry,3
benchmarks,2
product,4
refine,4
develop,12
vendor,2
responses,2
qualitative,3
supplier,4
negotiations,2
supporting,2
materials,2
team’s,2
negotiation,2
preparation;,2
assist,4
developing,4
savings,4
approach,4
category•extract,2
extraction,2
erp,2
modeling,12
tool,2
input,2
output,2
finance,3
obtain,3
necessary,11
order,15
produce,2
validate,2
baseline,2
cube,2
opportunities,24
based,16
teams•support,2
special,11
procurement,2
activities,7
needed,8
years’,2
solving,4
analytics,31
deep,3
access;,2
proficient,4
areas,2
suite•knowledge,2
various,10
evaluation,6
payback,2
•strong,2
verbal,5
clearly,2
concisely,2
communicate,2
